City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Emerald,AU,72.34,overcast clouds,-23.5333,148.1667,The Irish Village
216,Mandiana,GN,72.61,light rain,10.6333,-8.6833,Motels rouzo
217,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
218,Cayenne,GF,78.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
219,Hovd,MN,75.92,overcast clouds,48.0056,91.6419,Hotel Khovd
220,Callaway,US,82.9,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
221,Port-Gentil,GA,73.36,broken clouds,-0.7193,8.7815,Fengshui Residence
222,Xichang,CN,80.65,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
223,Algeciras,ES,67.68,scattered clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
224,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
225,Kismayo,SO,79.72,light rain,-0.3582,42.5454,Agan-Hotel
226,Dali,CN,74.93,broken clouds,25.7,100.1833,Dali Travelling With Hostel
227,Onda,ES,71.33,clear sky,39.9667,-0.25,Motel Shhh
228,Brunico,IT,65.66,few clouds,46.7958,11.9364,Hotel Post
229,Shache,CN,78.4,overcast clouds,38.4167,77.2406,Delong Hotel
230,Buala,SB,82.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
231,Puerto Escondido,MX,78.71,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
232,Thayetmyo,MM,84.72,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
233,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
234,Ulaanbaatar,MN,68.13,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
235,Khoy,IR,77.18,clear sky,38.5504,44.9535,ترک سل
236,Amahai,ID,79.92,light rain,-3.3333,128.9167,HOTEL ISABELA
237,Bolshevik,BY,69.42,scattered clouds,54.0065,27.5692,HOME APART Storozhovskaya str.6
238,Epe,NG,75.24,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
239,Angoche,MZ,75.09,clear sky,-16.2325,39.9086,Guest House HESADA
240,Kargasok,RU,76.91,broken clouds,59.0556,80.8572,Hotel Kargasok
241,Yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
242,Boa Vista,BR,73.38,thunderstorm with light rain,2.8197,-60.6733,Aipana Plaza Hotel
243,Sungaipenuh,ID,73.45,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
244,Paoua,CF,68.65,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
245,Virginia Beach,US,69.03,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
246,Ixhuatan,MX,75.58,overcast clouds,16.3569,-94.4825,Hotel D' Ángel
247,Somvarpet,IN,75.51,overcast clouds,12.6,75.8667,Homestay
248,Nezhinka,RU,69.96,clear sky,51.7676,55.3694,"Extreme Park, Holiday Village"
249,Solnechnyy,RU,67.5,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
250,Kingston,JM,77.23,overcast clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
251,Mananjary,MG,69.78,broken clouds,-21.2167,48.3333,Vahiny Lodge
252,Muroto,JP,75.0,overcast clouds,33.2833,134.15,Oota Ryokan
253,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
254,Tomatlan,MX,78.33,broken clouds,19.9333,-105.25,El Salvial
255,Jerez,GT,66.54,overcast clouds,14.1,-89.75,Auto hotel Esmeralda
256,Nouadhibou,MR,67.6,overcast clouds,20.931,-17.0347,El Medina
257,Santa Ana,US,72.12,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
258,Bandar-E Anzali,IR,77.11,clear sky,37.4727,49.4622,هتل بیاچ
259,Kerema,PG,81.37,overcast clouds,-7.9631,145.7785,Frena Lodge
260,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
261,Sarangani,PH,84.18,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
262,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
263,Oron,NG,75.31,light rain,4.8256,8.2343,Aqua Belloni Lodge
264,Cozumel,MX,76.95,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
265,Celestun,MX,77.47,overcast clouds,20.8667,-90.4,Posada Lilia
266,Coxim,BR,68.88,clear sky,-18.5067,-54.76,Hotel Avenida
267,Ambilobe,MG,81.54,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
268,Gusau,NG,77.7,few clouds,12.1628,6.6614,GUEST INN
269,Kisangani,CD,71.4,overcast clouds,0.5167,25.2,Grand Ramela Hotel
270,Miyako,JP,76.39,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
271,Krasnoselkup,RU,76.26,few clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
272,Pedreiras,BR,70.63,clear sky,-4.5688,-44.6003,Hotel Princesa do Mearim
273,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
274,San Juan Del Sur,NI,75.42,overcast clouds,11.2529,-85.8705,Nuestra Casa
275,Porto Velho,BR,73.45,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
276,Noumea,NC,75.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
277,Manicore,BR,73.35,clear sky,-5.8092,-61.3003,Hotel Durval
278,Zarubino,RU,69.4,broken clouds,42.63,131.0922,Okean
279,Sabang,ID,82.67,broken clouds,5.8933,95.3214,Hotel Citra
280,Verkh-Usugli,RU,69.35,light rain,52.7,115.1667,"Gostinitsa ""Sever"""
281,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
282,Cabanas,CU,75.52,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
283,Sinnamary,GF,76.64,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
284,Kabardinka,RU,76.98,few clouds,44.6514,37.9428,База отдыха Орленок
285,Vari,GR,79.02,clear sky,37.8312,23.8081,The Margi
286,Akhmim,EG,82.6,clear sky,26.5622,31.745,برج الماسة السكني
287,Tecoanapa,MX,76.89,overcast clouds,16.5167,-98.75,Hotel Manglares
288,Brownsville,US,82.9,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
