City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,77.05,78,75,13.8,broken clouds
80,Saint George,US,37.1041,-113.5841,72.19,19,0,6.91,clear sky
81,Alice Springs,AU,-23.7,133.8833,76.55,22,0,6.91,clear sky
82,Lavrentiya,RU,65.5833,-171.0,53.1,58,60,11.72,broken clouds
83,Chokurdakh,RU,70.6333,147.9167,38.37,83,100,22.84,overcast clouds
84,Aquiraz,BR,-3.9014,-38.3911,78.89,87,12,10.89,few clouds
85,Kavaratti,IN,10.5669,72.642,82.69,76,99,15.28,overcast clouds
86,Byron Bay,AU,-28.65,153.6167,61.95,76,55,12.3,broken clouds
87,Ajdabiya,LY,30.7554,20.2263,77.14,47,0,0.2,clear sky
88,Mandalgovi,MN,45.7625,106.2708,70.39,26,80,5.48,broken clouds
89,Ponta Do Sol,PT,32.6667,-17.1,67.01,67,84,8.55,broken clouds
90,Kavieng,PG,-2.5744,150.7967,82.54,72,17,4.25,light rain
91,Naze,JP,28.3667,129.4833,79.72,81,99,12.35,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,40,11.5,scattered clouds
93,Kidal,ML,18.4411,1.4078,88.66,29,81,4.09,broken clouds
94,Aloleng,PH,16.1307,119.7824,86.11,69,66,6.87,broken clouds
95,Karaton,ID,-6.3424,106.1045,87.51,57,10,2.24,clear sky
96,Kenai,US,60.5544,-151.2583,57.15,75,100,0.0,overcast clouds
97,High Rock,BS,26.6208,-78.2833,80.62,68,92,8.01,overcast clouds
98,Pevek,RU,69.7008,170.3133,50.2,57,35,18.19,scattered clouds
99,Cherskiy,RU,68.75,161.3,55.06,71,100,18.43,overcast clouds
100,Mar Del Plata,AR,-38.0023,-57.5575,41.09,91,59,2.3,fog
101,Gulf Gate Estates,US,27.2517,-82.5147,78.13,76,0,5.75,clear sky
102,Madras,IN,13.0878,80.2785,89.58,77,40,13.8,scattered clouds
103,Dudinka,RU,69.4058,86.1778,74.62,28,99,10.09,overcast clouds
104,Butaritari,KI,3.0707,172.7902,83.08,73,98,12.33,overcast clouds
105,Grindavik,IS,63.8424,-22.4338,48.67,100,100,12.66,light intensity drizzle
106,Kosh-Agach,RU,50.0,88.6667,59.59,43,99,4.0,overcast clouds
107,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,19.57,broken clouds
108,Provideniya,RU,64.3833,-173.3,39.31,100,100,6.71,fog
109,Iralaya,HN,15.0,-83.2333,79.99,87,100,15.59,overcast clouds
