City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ambon,ID,2022-06-19 03:02:20,-3.6954,128.1814,79.23,14,75,9.22
68,Sao Filipe,CV,2022-06-19 03:02:21,14.8961,-24.4956,74.25,84,100,7.38
69,Vanimo,PG,2022-06-19 03:02:21,-2.6741,141.3028,85.55,65,38,8.23
70,Jamestown,US,2022-06-19 03:00:19,42.097,-79.2353,59.52,59,0,3.0
71,Mar Del Plata,AR,2022-06-19 03:00:11,-38.0023,-57.5575,44.1,62,36,1.01
72,Kapaa,US,2022-06-19 02:57:32,22.0752,-159.319,79.12,77,23,5.01
73,Axim,GH,2022-06-19 03:02:22,4.8699,-2.2405,74.1,88,100,2.68
74,Chokurdakh,RU,2022-06-19 03:02:22,70.6333,147.9167,60.55,38,100,18.61
75,Mahebourg,MU,2022-06-19 03:02:22,-20.4081,57.7,69.26,83,34,11.54
76,Chernenko,RU,2022-06-19 03:02:23,44.365,39.3103,60.67,79,40,1.48
77,Havre-Saint-Pierre,CA,2022-06-19 03:02:23,50.2334,-63.5986,48.96,80,100,14.38
78,Barrow,US,2022-06-19 03:02:23,71.2906,-156.7887,37.42,81,0,8.05
79,Sinegorskiy,RU,2022-06-19 03:02:24,48.0139,40.8447,65.71,62,76,1.48
80,Pirgos,GR,2022-06-19 03:02:24,35.1167,25.7178,73.62,61,2,13.49
81,Warwick,US,2022-06-19 02:59:18,41.7001,-71.4162,57.45,74,100,4.0
82,Pevek,RU,2022-06-19 03:02:25,69.7008,170.3133,37.67,77,93,4.54
83,Mesetas,CO,2022-06-19 03:02:25,3.3846,-74.0442,69.49,97,96,1.59
84,Koslan,RU,2022-06-19 03:02:25,63.4564,48.8989,49.95,81,99,6.71
85,Cherskiy,RU,2022-06-19 03:02:26,68.75,161.3,55.47,46,7,8.46
86,Richards Bay,ZA,2022-06-19 03:02:26,-28.783,32.0377,58.28,52,73,6.89
87,Rawson,AR,2022-06-19 03:00:24,-43.3002,-65.1023,43.93,78,100,10.29
88,Khudumelapye,BW,2022-06-19 03:02:26,-23.8833,24.75,49.82,34,0,7.85
89,Tasiilaq,GL,2022-06-19 03:02:27,65.6145,-37.6368,37.56,91,100,11.5
90,Paamiut,GL,2022-06-19 03:02:27,61.994,-49.6678,39.97,98,100,8.68
91,Cape Town,ZA,2022-06-19 03:02:28,-33.9258,18.4232,52.12,92,60,1.99
92,Bubaque,GW,2022-06-19 03:03:28,11.2833,-15.8333,78.13,83,100,14.54
93,Norman Wells,CA,2022-06-19 03:03:28,65.282,-126.8329,77.79,30,75,9.28
94,Poum,NC,2022-06-19 03:03:29,-20.2333,164.0167,74.01,87,33,16.78
95,Avarua,CK,2022-06-19 03:03:29,-21.2078,-159.775,75.25,69,75,11.5
96,Flinders,AU,2022-06-19 03:03:29,-34.5833,150.8552,65.17,65,56,5.01
97,Waipawa,NZ,2022-06-19 03:03:30,-41.4122,175.5153,47.64,75,73,11.88
98,Cabo San Lucas,MX,2022-06-19 03:03:30,22.8909,-109.9124,82.62,76,11,4.0
99,Laguna,US,2022-06-19 02:58:52,38.421,-121.4238,76.44,39,0,7.0
100,Bambous Virieux,MU,2022-06-19 03:03:31,-20.3428,57.7575,69.22,85,23,10.71
101,Santiago,CL,2022-06-19 03:03:24,-33.4569,-70.6483,56.17,53,100,2.3
102,Sharjah,AE,2022-06-19 03:03:31,25.3573,55.4033,92.48,52,3,9.82
103,Lagoa,PT,2022-06-19 03:03:31,39.05,-27.9833,62.38,77,4,20.02
104,Luderitz,NA,2022-06-19 02:58:47,-26.6481,15.1594,56.39,84,73,9.53
105,Nyurba,RU,2022-06-19 03:03:32,63.2842,118.3319,78.53,33,77,5.79
106,Marzuq,YE,2022-06-19 03:03:32,14.4,46.4667,79.86,38,100,5.82
107,Grenville,GD,2022-06-19 03:03:33,12.1167,-61.6167,79.52,82,94,18.61
108,Lebu,CL,2022-06-19 03:03:33,-37.6167,-73.65,49.21,77,100,7.18
109,Arraial Do Cabo,BR,2022-06-19 03:03:26,-22.9661,-42.0278,69.71,82,100,17.45
110,Vera Cruz,BR,2022-06-19 03:03:33,-12.6333,-41.0333,61.63,88,0,0.85
111,Namibe,AO,2022-06-19 03:03:34,-15.1961,12.1522,59.65,88,14,7.49
112,The Valley,AI,2022-06-19 02:59:56,18.217,-63.0578,82.26,80,23,20.49
113,Dryden,CA,2022-06-19 02:58:48,49.7833,-92.7503,66.49,42,100,12.66
114,Ratnagiri,IN,2022-06-19 03:03:34,16.9833,73.3,82.87,74,83,5.3
115,Grand Gaube,MU,2022-06-19 03:03:35,-20.0064,57.6608,69.39,78,7,10.07
116,Port Elizabeth,ZA,2022-06-19 03:03:35,-33.918,25.5701,53.1,95,43,1.99
117,Labuhan,ID,2022-06-19 03:03:35,-6.8844,112.2051,82.78,73,97,2.46
118,Hasaki,JP,2022-06-19 03:03:36,35.7333,140.8333,86.29,74,67,12.66
119,Saldanha,ZA,2022-06-19 03:03:36,-33.0117,17.9442,56.25,67,91,4.41
120,Victoria,HK,2022-06-19 02:59:57,22.2855,114.1577,88.18,81,100,15.01
121,Tinaquillo,VE,2022-06-19 03:03:37,9.9186,-68.3047,69.71,95,47,1.61
122,Zabaykalsk,RU,2022-06-19 03:03:37,49.6333,117.3167,62.06,87,100,4.83
123,Yaan,NG,2022-06-19 03:03:38,7.3833,8.5667,71.53,94,100,4.47
124,Mitchell,US,2022-06-19 03:03:17,43.7094,-98.0298,87.78,46,0,16.11
125,Khash,IR,2022-06-19 03:03:38,28.2211,61.2158,78.57,14,4,3.27
126,Hambantota,LK,2022-06-19 03:03:38,6.1241,81.1185,82.74,89,20,8.05
127,Neyshabur,IR,2022-06-19 03:03:39,36.2133,58.7958,76.3,35,0,1.74
128,Carrollton,US,2022-06-19 03:03:39,32.9537,-96.8903,91.42,53,40,11.5
129,Lashio,MM,2022-06-19 03:03:39,22.9333,97.75,70.92,96,100,1.68
130,Vaini,TO,2022-06-19 03:03:40,-21.2,-175.2,78.96,89,75,10.36
131,Fuerte Olimpo,PY,2022-06-19 03:03:40,-21.0415,-57.8738,56.1,60,0,4.03
132,Coahuayana,MX,2022-06-19 03:03:40,18.7333,-103.6833,78.35,79,100,1.43
133,Kalia,BD,2022-06-19 03:03:41,23.0396,89.6328,82.29,80,98,9.06
134,Lavrentiya,RU,2022-06-19 03:03:41,65.5833,-171.0,53.2,54,20,7.02
135,Kodiak,US,2022-06-19 03:03:42,57.79,-152.4072,53.11,76,100,10.36
136,Kharp,RU,2022-06-19 03:04:42,66.8014,65.8081,66.33,61,97,1.57
137,Alice Springs,AU,2022-06-19 03:02:00,-23.7,133.8833,71.15,32,100,2.3
